項目,値,説明
シーズン,2026,対象シーズン
集計基準日,2026-08-29,収録データの最終試合日または更新日
生成日時,2026-08-29T17:31:06+09:00,CSVを生成した日本時間
公開元,https://github.com/wocchi09/npb-data,データと生成コードのリポジトリ
欠損方針,空欄,取得できない値は推測せず空欄にする
選手データ制限,野手20打席以上・投手3登板以上,Google Sheetsソースのトークン上限を考慮
対戦データ制限,5打席以上の全打者・投手組み合わせ,対戦専用スプレッドシートへ分離
登録データ制限,現在登録中または直近30日以内に抹消,直近の登録・抹消を優先
調子データ制限,区分・期間ごとの上位25人と下位25人,好調・不調を質問しやすくしつつデータ量を抑制
試合データ期間,直近7日,Google Sheetsソースのトークン上限を考慮
