シーズン,集計基準日,試合日,試合ID,ビジター,ホーム,球場,ビジター得点,ホーム得点,勝者,試合状態,勝利投手,敗戦投手,セーブ投手,データの説明
2026,2026-08-06,2026-04-02,2021038654,DeNA,阪神,京セラD大阪,3,4,阪神,試合終了,伊原,竹田,岩崎,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-04-02,2021038653,巨人,中日,バンテリンドーム,1,2,中日,試合終了,大野,則本,,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-04-02,2021038652,広島,ヤクルト,神宮,1,2,ヤクルト,試合終了,松本健,森浦,,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-04-01,2021038651,オリックス,西武,ベルーナドーム,4,0,オリックス,試合終了,エスピノーザ,髙橋光成,,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-04-01,2021038650,ソフトバンク,楽天,楽天モバイル,6,1,ソフトバンク,試合終了,徐,古謝,,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-04-01,2021038649,ロッテ,日本ハム,エスコンF,4,2,ロッテ,試合終了,ジャクソン,北山,横山,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-04-01,2021038648,DeNA,阪神,京セラD大阪,4,1,DeNA,試合終了,コックス,ルーカス,山﨑,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-04-01,2021038647,巨人,中日,バンテリンドーム,6,5,巨人,試合終了,田中将,中西,大勢,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-03-31,2021038645,オリックス,西武,ベルーナドーム,3,5,西武,試合終了,E.ラミレス,ペルドモ,岩城,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-03-31,2021038644,ソフトバンク,楽天,楽天モバイル,4,2,ソフトバンク,試合終了,大関,前田健,杉山,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-03-31,2021038643,ロッテ,日本ハム,エスコンF,0,9,日本ハム,試合終了,細野,木村,,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-03-31,2021038642,DeNA,阪神,京セラD大阪,1,4,阪神,試合終了,才木,デュプランティエ,岩崎,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-03-31,2021038641,巨人,中日,バンテリンドーム,5,2,巨人,試合終了,田中瑛,藤嶋,大勢,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-03-31,2021038640,広島,ヤクルト,神宮,3,8,ヤクルト,試合終了,小川,森下,,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-03-29,2021038639,日本ハム,ソフトバンク,みずほPayPay,4,8,ソフトバンク,試合終了,スチュワート・ジュニア,有原,,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-03-29,2021038638,楽天,オリックス,京セラD大阪,4,5,オリックス,試合終了,山﨑,藤原,マチャド,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-03-29,2021038637,西武,ロッテ,ZOZOマリン,4,0,西武,試合終了,平良,小島,,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-03-29,2021038636,中日,広島,マツダスタジアム,0,1,広島,試合終了,栗林,髙橋宏,,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-03-29,2021038635,ヤクルト,DeNA,横浜,5,3,ヤクルト,試合終了,荘司,石田裕,星,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-03-29,2021038634,阪神,巨人,東京ドーム,12,6,阪神,試合終了,及川,船迫,,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-03-28,2021038633,日本ハム,ソフトバンク,みずほPayPay,4,6,ソフトバンク,試合終了,松本晴,達,,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-03-28,2021038632,楽天,オリックス,京セラD大阪,0,6,オリックス,試合終了,九里,瀧中,,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-03-28,2021038631,西武,ロッテ,ZOZOマリン,0,11,ロッテ,試合終了,田中,武内,,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-03-28,2021038630,中日,広島,マツダスタジアム,1,2,広島,試合終了,ハーン,牧野,森浦,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-03-28,2021038629,ヤクルト,DeNA,横浜,5,2,ヤクルト,試合終了,山野,入江,キハダ,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-03-28,2021038628,阪神,巨人,東京ドーム,2,0,阪神,試合終了,髙橋,ハワード,,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-03-27,2021038627,日本ハム,ソフトバンク,みずほPayPay,5,6,ソフトバンク,試合終了,松本裕,古林,杉山,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-03-27,2021038626,楽天,オリックス,京セラD大阪,10,0,楽天,試合終了,荘司,宮城,,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-03-27,2021038625,西武,ロッテ,ZOZOマリン,1,3,ロッテ,試合終了,毛利,渡邉,横山,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-03-27,2021038624,中日,広島,マツダスタジアム,5,6,広島,試合終了,森浦,勝野,,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-03-27,2021038623,ヤクルト,DeNA,横浜,3,2,ヤクルト,試合終了,吉村,東,キハダ,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-03-27,2021038622,阪神,巨人,東京ドーム,1,3,巨人,試合終了,竹丸,村上,田中瑛,2026シーズンの収集済み全試合。
