シーズン,集計基準日,打者名,打者球団,投手名,投手球団,対戦打席,対戦打数,安打,本塁打,四球,三振,打率,出塁率,長打率,OPS,サンプル不足フラグ,データの説明
2026,2026-08-09,大野 雄大,中日,ウィットリー,巨人,6,5,0,0,1,2,0.0,0.1667,0.0,0.1667,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,大野 雄大,中日,森下 暢仁,広島,5,4,0,0,0,3,0.0,0.0,0.0,0.0,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,秋山 翔吾,広島,村上 頌樹,阪神,8,8,3,0,0,0,0.375,0.375,0.375,0.75,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,秋山 翔吾,広島,柳 裕也,中日,7,7,3,0,0,1,0.4286,0.4286,0.8571,1.2857,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,秋山 翔吾,広島,山﨑 伊織,巨人,6,6,1,0,0,0,0.1667,0.1667,0.1667,0.3334,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,秋山 翔吾,広島,高梨 裕稔,ヤクルト,6,6,1,0,0,1,0.1667,0.1667,0.1667,0.3334,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,秋山 翔吾,広島,吉村 貢司郎,ヤクルト,5,5,1,0,0,1,0.2,0.2,0.2,0.4,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,牧原 大成,ソフトバンク,古謝 樹,楽天,18,16,9,0,0,1,0.5625,0.5625,0.625,1.1875,いいえ,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,牧原 大成,ソフトバンク,伊藤 大海,日本ハム,15,14,7,0,0,1,0.5,0.5333,0.6429,1.1762,いいえ,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,牧原 大成,ソフトバンク,早川 隆久,楽天,13,12,3,0,0,1,0.25,0.25,0.3333,0.5833,いいえ,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
