シーズン,集計基準日,選手名,球団,背番号,守備位置,試合数,打席数,打数,安打,本塁打,打点,盗塁,打率,出塁率,長打率,OPS,wRC+推定,W-Impact,直近5試合OPS,一軍登録日数,サンプル不足フラグ,データの説明
2026,2026-08-01,渡部 聖弥,西武,8,三,96,392,370,97,7,38,3,0.262,0.298,0.365,0.663,91.0,103.2,0.4369747899159664,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,カナリオ,西武,25,右,89,353,326,79,8,35,9,0.242,0.297,0.359,0.656,87.0,102.2,0.28708133971291866,,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,滝澤 夏央,西武,62,二,89,347,290,85,1,25,11,0.293,0.379,0.331,0.71,118.0,109.5,0.4772727272727273,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,西川 愛也,西武,51,中,79,262,243,55,3,23,5,0.226,0.261,0.313,0.574,57.0,96.5,0.5852941176470587,112,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,ネビン,西武,26,一,59,245,217,59,15,36,0,0.272,0.327,0.544,0.871,156.0,112.5,0.7467532467532467,,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,長谷川 信哉,西武,63,一,68,236,210,60,9,30,6,0.286,0.343,0.49,0.833,151.0,121.0,0.5380952380952381,98,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,桑原 将志,西武,7,左,54,225,203,48,3,15,2,0.236,0.305,0.345,0.65,89.0,97.3,0.47619047619047616,74,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,小島 大河,西武,10,捕,58,212,201,50,4,19,0,0.249,0.275,0.338,0.613,69.0,101.4,0.7647058823529411,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,平沢 大河,西武,39,一,58,210,190,51,2,15,1,0.268,0.33,0.358,0.688,103.0,103.5,0.5935672514619883,119,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,石井 一成,西武,4,二,59,205,189,45,5,16,0,0.238,0.284,0.37,0.654,86.0,99.4,0.42647058823529416,104,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,源田 壮亮,西武,6,遊,78,202,169,34,1,16,0,0.201,0.29,0.254,0.544,56.0,94.6,0.5064935064935066,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,古賀 悠斗,西武,22,捕,74,189,159,46,4,24,2,0.289,0.377,0.415,0.792,142.0,120.9,1.121212121212121,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,林 安可,西武,73,指,54,185,166,38,6,20,0,0.229,0.308,0.398,0.706,108.0,100.5,0.9833333333333334,97,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,岸 潤一郎,西武,68,左,71,120,106,22,1,9,3,0.208,0.259,0.302,0.561,53.0,105.2,0.0,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,外崎 修汰,西武,5,指,21,64,58,10,1,5,1,0.172,0.234,0.241,0.475,25.0,91.3,0.5,52,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,山村 崇嘉,西武,32,一,18,48,43,8,1,5,0,0.186,0.255,0.256,0.511,41.0,94.1,0.16666666666666666,48,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,蛭間 拓哉,西武,9,左,16,44,41,14,0,3,0,0.341,0.341,0.561,0.902,170.0,111.7,1.042857142857143,30,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,柘植 世那,西武,37,捕,22,40,36,11,0,1,0,0.306,0.324,0.361,0.685,99.0,105.7,0.3333333333333333,129,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,仲三 優太,西武,55,指,11,35,31,4,1,3,0,0.129,0.229,0.226,0.455,23.0,91.8,0.5641025641025641,16,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,森下 翔太,阪神,1,右,93,403,349,101,25,59,3,0.289,0.377,0.57,0.947,212.0,130.0,0.8390092879256965,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,佐藤 輝明,阪神,8,三,93,395,341,109,22,66,5,0.32,0.405,0.607,1.012,232.0,134.5,0.8796791443850267,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,中野 拓夢,阪神,7,二,93,387,340,100,0,18,4,0.294,0.345,0.332,0.677,115.0,113.6,0.4949494949494949,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,大山 悠輔,阪神,3,一,91,378,321,90,12,56,0,0.28,0.373,0.442,0.815,164.0,114.2,0.8755980861244019,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,髙寺 望夢,阪神,67,中,83,260,224,53,2,18,9,0.237,0.331,0.308,0.639,102.0,111.9,0.7166666666666667,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,近本 光司,阪神,5,中,40,181,161,42,0,6,6,0.261,0.337,0.298,0.635,103.0,100.9,0.696969696969697,54,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,坂本 誠志郎,阪神,12,捕,59,177,155,33,3,20,2,0.213,0.275,0.303,0.578,69.0,103.6,1.4305555555555556,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,熊谷 敬宥,阪神,4,遊,55,143,130,29,0,11,4,0.223,0.257,0.254,0.511,46.0,101.6,0.3076923076923077,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,福島 圭音,阪神,92,打,55,139,123,29,0,4,6,0.236,0.314,0.293,0.607,91.0,102.7,0.45,111,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,木浪 聖也,阪神,0,遊,46,134,123,29,1,14,1,0.236,0.291,0.285,0.576,74.0,104.4,0.0,109,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,前川 右京,阪神,58,左,40,117,102,23,5,15,0,0.225,0.325,0.422,0.747,141.0,109.4,0.4984520123839009,83,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,立石 正広,阪神,9,三,30,109,107,22,2,10,1,0.206,0.22,0.28,0.5,36.0,93.1,0.3333333333333333,44,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,小幡 竜平,阪神,38,遊,35,103,93,20,0,4,1,0.215,0.27,0.247,0.517,47.0,91.6,0.0,103,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,伏見 寅威,阪神,17,捕,34,101,90,19,0,10,0,0.211,0.258,0.233,0.491,40.0,102.4,0.5882352941176471,107,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,梅野 隆太郎,阪神,2,捕,22,68,61,12,1,3,1,0.197,0.254,0.279,0.533,55.0,99.6,0.6573426573426573,86,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,嶋村 麟士朗,阪神,85,打,30,41,41,8,1,5,0,0.195,0.195,0.268,0.463,19.0,98.8,0.0,94,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,髙橋 遥人,阪神,29,投,13,39,33,4,0,0,0,0.121,0.121,0.121,0.242,-71.0,82.2,0.0,103,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,村上 頌樹,阪神,41,投,16,38,33,2,0,0,0,0.061,0.088,0.061,0.149,-104.0,79.8,0.18181818181818182,129,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,元山 飛優,阪神,00,遊,14,37,29,9,0,1,1,0.31,0.382,0.31,0.692,126.0,109.3,0.7029411764705882,43,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,才木 浩人,阪神,35,投,16,37,27,2,0,1,0,0.074,0.138,0.074,0.212,-70.0,81.3,0.07142857142857142,124,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,岡城 快生,阪神,34,中,14,32,31,5,0,1,0,0.161,0.188,0.226,0.414,2.0,90.9,0.21428571428571427,56,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,濱田 太貴,阪神,32,打,19,27,25,4,1,2,0,0.16,0.222,0.28,0.502,42.0,97.3,1.0,58,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,中川 勇斗,阪神,68,左,10,25,19,1,0,2,0,0.053,0.25,0.105,0.355,13.0,90.5,0.4,28,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,大竹 耕太郎,阪神,21,投,11,21,19,3,0,0,0,0.158,0.158,0.158,0.316,-40.0,90.7,0.5,79,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
