date,game_id,home,away,stadium,stadium_side,inning,top_bottom,half,batting_team,fielding_team,atbat_index,atbat_no,batter,batter_id,batter_key,bat_hand,pitcher,pitcher_id,pitcher_key,pit_hand,outs,r1,r2,r3,runners_code,risp,pitch_no,balls_before,strikes_before,count_before,pitch_type,speed_kmh,zone_row,zone_col,zone_label,in_zone,pitch_result,pitch_kind,is_swing,is_miss,is_called,is_foul,is_ball,is_inplay,is_last_pitch,ab_result,ab_out_type,ab_hit,ab_rbi
2026-06-28,2021039062,ヤクルト,中日,神宮,home,1,裏,1裏,ヤクルト,中日,0120300,6,塩見 泰隆,1700087,p1700087,右打,金丸 夢斗,2108462,p2108462,左投,3,False,False,False,b000,False,4,1,2,1-2,ストレート,,1,1,高め・外,True,空三振,strike,True,False,False,False,False,True,True,空振り三振,三振,0,0
2026-06-28,2021039062,ヤクルト,中日,神宮,away,2,表,2表,中日,ヤクルト,0210100,7,細川 成也,1600085,p1600085,右打,吉村 貢司郎,2103794,p2103794,右投,1,False,False,False,b000,False,1,0,0,0-0,ストレート,147,2,1,真ん中・外,True,見逃し,strike,False,False,True,False,False,False,False,三ゴロ,ゴロ,0,0
2026-06-28,2021039062,ヤクルト,中日,神宮,away,2,表,2表,中日,ヤクルト,0210100,7,細川 成也,1600085,p1600085,右打,吉村 貢司郎,2103794,p2103794,右投,1,False,False,False,b000,False,2,0,1,0-1,フォーク,138,3,1,低め・外,True,空振り[クイック投法],strike,True,True,False,False,False,False,False,三ゴロ,ゴロ,0,0
2026-06-28,2021039062,ヤクルト,中日,神宮,away,2,表,2表,中日,ヤクルト,0210100,7,細川 成也,1600085,p1600085,右打,吉村 貢司郎,2103794,p2103794,右投,1,False,False,False,b000,False,3,0,2,0-2,スライダー,129,3,0,低め・外,False,ボール[クイック投法],ball,False,False,False,False,True,False,False,三ゴロ,ゴロ,0,0
2026-06-28,2021039062,ヤクルト,中日,神宮,away,2,表,2表,中日,ヤクルト,0210100,7,細川 成也,1600085,p1600085,右打,吉村 貢司郎,2103794,p2103794,右投,1,False,False,False,b000,False,4,1,2,1-2,フォーク,136,0,3,高め・内,False,ボール,ball,False,False,False,False,True,False,False,三ゴロ,ゴロ,0,0
2026-06-28,2021039062,ヤクルト,中日,神宮,away,2,表,2表,中日,ヤクルト,0210100,7,細川 成也,1600085,p1600085,右打,吉村 貢司郎,2103794,p2103794,右投,1,False,False,False,b000,False,5,2,2,2-2,スライダー,128,4,0,低め・外,False,ボール[ワンバウンド],ball,False,False,False,False,True,False,False,三ゴロ,ゴロ,0,0
2026-06-28,2021039062,ヤクルト,中日,神宮,away,2,表,2表,中日,ヤクルト,0210100,7,細川 成也,1600085,p1600085,右打,吉村 貢司郎,2103794,p2103794,右投,1,False,False,False,b000,False,6,3,2,3-2,フォーク,,1,2,高め・真ん中,True,三ゴロ[ライン際],out,True,False,False,False,False,True,True,三ゴロ,ゴロ,0,0
2026-06-28,2021039062,ヤクルト,中日,神宮,away,2,表,2表,中日,ヤクルト,0210200,8,サノー,1561854,p1561854,右打,吉村 貢司郎,2103794,p2103794,右投,2,False,False,False,b000,False,1,0,0,0-0,カーブ,,3,2,低め・真ん中,True,見逃し,strike,False,False,True,False,False,False,False,中フライ,,0,0
2026-06-28,2021039062,ヤクルト,中日,神宮,away,2,表,2表,中日,ヤクルト,0210200,8,サノー,1561854,p1561854,右打,吉村 貢司郎,2103794,p2103794,右投,2,False,False,False,b000,False,2,0,1,0-1,ストレート,151,3,0,低め・外,False,ボール,ball,False,False,False,False,True,False,False,中フライ,,0,0
2026-06-28,2021039062,ヤクルト,中日,神宮,away,2,表,2表,中日,ヤクルト,0210200,8,サノー,1561854,p1561854,右打,吉村 貢司郎,2103794,p2103794,右投,2,False,False,False,b000,False,3,1,1,1-1,ツーシーム,,1,1,高め・外,True,中飛,out,True,False,False,False,False,True,True,中フライ,,0,0
