season,player_key,player_id,player,team,league,number,hand,position,qualified,games,pa,ab,runs,hits,singles,doubles,triples,hr,rbi,bb,ibb,hbp,so,sb,caught_stealing,baserunning_outs,baserunning_runs,errors,sf,sh,gidp,gidp_opportunities,tb,avg,obp,slg,ops,iso,babip,bb_pct,k_pct,bb_k,woba_est,wraa_est,wrc_est,wrc_plus_est,rc,rc27,xr,xr27,gpa,seca,ta,wsb,ubr_est,bsr_est
2026,p2103949,2103949,古市 尊,DeNA,セ,60,右打,捕,False,8,22,21,2,3,2,1,0,0,0,1,0,0,4,0,0,0,0.0,0,0,0,0,1,4,0.143,0.182,0.19,0.372,0.047,0.176,0.045,0.182,0.25,0.17,-2.29,-0.25,-12.0,0.73,1.09,0.41,0.61,0.129,0.095,0.278,0.0,-0.0,0.0
2026,p2100014,2100014,宮下 朝陽,DeNA,セ,34,右打,遊,False,50,164,153,17,36,25,5,0,6,19,10,4,0,39,2,0,0,0.4,1,0,1,2,20,59,0.235,0.282,0.386,0.668,0.151,0.278,0.061,0.238,0.26,0.285,-0.68,14.52,96.0,16.65,3.75,16.6,3.73,0.223,0.229,0.597,0.4,-0.0,0.4
2026,p1200053,1200053,宮﨑 敏郎,DeNA,セ,51,右打,三,False,80,284,252,18,66,48,10,0,8,30,26,0,4,35,0,1,3,-1.6,2,2,0,11,17,100,0.262,0.338,0.397,0.735,0.135,0.275,0.092,0.123,0.74,0.328,9.31,35.63,135.0,34.04,4.6,32.25,4.35,0.251,0.25,0.657,-0.4,-1.2,-1.6
2026,p1950913,1950913,小田 康一郎,DeNA,セ,3,左打,三一,False,3,8,7,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0.0,0,0,0,0,1,0,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.375,0.33,0.086,-1.42,-0.68,-91.0,0.0,0.0,-0.31,-1.21,0.056,0.143,0.143,0.0,-0.0,0.0
2026,p1700066,1700066,山本 祐大,DeNA,セ,50,右打,捕,False,55,202,174,24,48,34,9,2,3,29,20,0,6,27,0,0,0,0.0,2,1,1,5,23,70,0.276,0.368,0.402,0.77,0.126,0.31,0.099,0.134,0.74,0.345,9.68,28.4,152.0,25.9,5.26,25.72,5.22,0.266,0.276,0.733,0.0,-0.0,0.0
2026,p2101494,2101494,島田 舜也,DeNA,セ,15,右投,投,False,3,6,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0,0,2,0,0,0,0.0,0.25,0.0,0.25,0.0,0.0,0.167,0.167,1.0,0.172,-0.61,-0.06,-10.0,0.0,0.0,0.14,0.77,0.113,0.333,0.333,0.0,-0.0,0.0
2026,p1300031,1300031,平良 拳太郎,DeNA,セ,59,右投,投,False,15,21,15,1,0,0,0,0,0,0,2,0,0,10,0,0,0,0.0,1,0,4,0,0,0,0.0,0.118,0.0,0.118,0.0,0.0,0.095,0.476,0.2,0.081,-3.81,-1.87,-96.0,0.0,0.0,-0.59,-0.84,0.053,0.133,0.133,0.0,-0.0,0.0
2026,p2112149,2112149,庄司 陽斗,DeNA,セ,93,左投,投,False,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,,0.0,1.0,0.0,0.0,-0.25,-0.16,-172.0,0.0,0.0,-0.1,-2.65,0.0,0.0,0.0,0.0,-0.0,0.0
2026,p1850873,1850873,度会 隆輝,DeNA,セ,4,左打,左,True,97,343,314,41,87,64,16,0,7,36,23,0,5,47,4,3,3,-1.6,0,0,1,8,46,124,0.277,0.336,0.395,0.731,0.118,0.308,0.067,0.137,0.49,0.326,10.72,42.52,134.0,41.7,4.71,39.15,4.42,0.25,0.21,0.655,-0.4,-1.2,-1.6
2026,p2115069,2115069,成瀬 脩人,DeNA,セ,48,右打,二,False,20,49,49,3,12,11,1,0,0,5,0,0,0,16,0,1,0,-0.4,2,0,0,1,3,13,0.245,0.245,0.265,0.51,0.02,0.364,0.0,0.327,0.0,0.226,-2.74,1.81,40.0,3.18,2.2,2.07,1.43,0.176,0.0,0.333,-0.4,-0.0,-0.4
2026,p1500064,1500064,戸柱 恭孝,DeNA,セ,10,左打,捕,False,26,59,54,2,10,6,4,0,0,5,5,1,0,9,0,0,0,0.0,0,0,0,1,7,14,0.185,0.254,0.259,0.513,0.074,0.222,0.085,0.153,0.56,0.227,-3.22,2.25,41.0,3.56,2.14,3.09,1.85,0.179,0.167,0.422,0.0,-0.0,0.0
2026,p1700058,1700058,東 克樹,DeNA,セ,11,左投,投,False,17,44,41,1,2,2,0,0,0,0,0,0,0,18,0,0,0,0.0,0,0,3,0,1,2,0.049,0.049,0.049,0.098,0.0,0.087,0.0,0.409,0.0,0.043,-9.43,-5.35,-131.0,0.1,0.06,-2.53,-1.63,0.034,0.0,0.051,0.0,-0.0,0.0
2026,p2100277,2100277,松尾 汐恩,DeNA,セ,5,右打,捕,False,70,246,226,26,57,41,11,1,4,14,16,3,2,27,1,1,1,-0.6,2,1,1,6,13,82,0.252,0.306,0.363,0.669,0.111,0.27,0.065,0.11,0.59,0.293,0.64,23.45,103.0,25.2,3.82,23.69,3.59,0.228,0.19,0.574,-0.2,-0.4,-0.6
2026,p1850208,1850208,林 琢真,DeNA,セ,00,左打,二,False,46,110,99,10,24,14,9,0,1,16,8,1,0,25,4,0,0,0.8,4,1,2,2,12,36,0.242,0.296,0.364,0.66,0.122,0.311,0.073,0.227,0.32,0.288,-0.18,10.02,98.0,10.77,3.63,11.03,3.72,0.224,0.242,0.623,0.8,-0.0,0.8
2026,p1500063,1500063,柴田 竜拓,DeNA,セ,31,左打,三,False,38,14,10,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0.0,0,1,3,2,2,1,0.1,0.091,0.1,0.191,0.0,0.1,0.0,0.071,0.0,0.081,-2.54,-1.25,-96.0,0.1,0.18,-0.57,-1.02,0.066,0.0,0.091,0.0,-0.0,0.0
2026,p2103703,2103703,梶原 昂希,DeNA,セ,58,左打,中,False,28,73,64,7,13,8,3,1,1,5,6,0,2,18,2,0,1,0.0,0,0,1,1,4,21,0.203,0.292,0.328,0.62,0.125,0.267,0.082,0.247,0.33,0.281,-0.57,6.2,92.0,6.12,3.12,6.66,3.39,0.213,0.281,0.596,0.4,-0.4,0.0
2026,p1900030,1900030,森 敬斗,DeNA,セ,6,左打,中,False,1,4,4,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0.0,1,0,0,0,0,2,0.25,0.25,0.5,0.75,0.25,0.25,0.0,0.0,,0.318,0.1,0.47,126.0,0.5,4.5,0.45,4.05,0.237,0.25,0.667,0.0,-0.0,0.0
2026,p2100109,2100109,深沢 鳳介,DeNA,セ,43,右投,投,False,7,14,12,0,1,1,0,0,0,0,0,0,0,8,0,0,0,0.0,1,0,2,0,0,1,0.083,0.083,0.083,0.166,0.0,0.25,0.0,0.571,0.0,0.074,-2.63,-1.33,-102.0,0.08,0.17,-0.47,-0.98,0.058,0.0,0.091,0.0,-0.0,0.0
2026,p2105232,2105232,片山 皓心,DeNA,セ,47,左投,投,False,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,2,0,0,0,0.0,0.0,0.0,0,0.0,,0.0,0.333,0.0,0.0,-0.76,-0.48,-172.0,0.0,0.0,-0.02,-0.16,0.0,0.0,0.0,0.0,-0.0,0.0
2026,p2000035,2000035,牧 秀悟,DeNA,セ,2,右打,二,False,71,313,276,53,78,41,16,0,21,51,27,1,9,56,2,2,3,-1.6,8,1,0,9,43,157,0.283,0.364,0.569,0.933,0.286,0.285,0.086,0.179,0.48,0.402,30.42,59.44,205.0,57.37,7.38,52.9,6.8,0.306,0.417,0.933,-0.4,-1.2,-1.6
