season,player_key,player_id,player,team,league,number,hand,qualified,games,innings,outs,batters_faced,pitches,hits_allowed,hr_allowed,so,bb,hbp,runs_allowed,earned_runs,wins,losses,saves,holds_official,holds_est,relief_wins,hp,era,fip,whip,k9,bb9,hr9,k_bb,k_pct,bb_pct,lob_pct_est,win_pct
2026,p2105007,2105007,橋本 達弥,DeNA,セ,35,右投,False,6,6.2,20,30,146,3,0,9,8,0,1,1,1,0,0,0,0,1,1,1.35,3.79,1.65,12.15,10.8,0.0,1.12,0.3,0.267,0.909,1.0
2026,p2104341,2104341,武田 陸玖,DeNA,セ,33,左投,False,1,2,6,13,73,2,0,1,4,0,2,1,0,1,0,0,0,0,0,4.5,7.89,3.0,4.5,18.0,0.0,0.25,0.077,0.308,0.667,0.0
2026,p1600116,1600116,浜地 真澄,DeNA,セ,52,右投,False,11,11,33,39,147,6,0,7,1,0,2,0,0,0,0,7,7,0,7,0.0,1.89,0.64,5.73,0.82,0.0,7.0,0.179,0.026,0.714,
2026,p2100109,2100109,深沢 鳳介,DeNA,セ,43,右投,False,6,32.1,97,135,533,33,1,20,8,1,15,10,3,1,0,0,0,0,0,2.78,2.89,1.27,5.57,2.23,0.28,2.5,0.148,0.059,0.665,0.75
2026,p2105232,2105232,片山 皓心,DeNA,セ,47,左投,False,3,13.2,41,64,241,15,1,13,7,1,8,8,2,1,0,0,0,0,0,5.27,3.69,1.61,8.56,4.61,0.66,1.86,0.203,0.109,0.694,0.667
2026,p1400110,1400110,石田 健大,DeNA,セ,14,左投,False,2,2.1,7,12,42,3,2,3,1,0,3,2,0,0,0,0,0,0,0,7.71,12.75,1.71,11.57,3.86,7.71,3.0,0.25,0.083,0.833,
2026,p2112182,2112182,石田 裕太郎,DeNA,セ,54,右投,False,15,91,273,372,1422,84,5,88,19,5,32,30,4,8,0,0,0,0,0,2.97,2.46,1.13,8.7,1.88,0.49,4.63,0.237,0.051,0.752,0.333
2026,p1650915,1650915,竹田 祐,DeNA,セ,12,右投,False,5,22.1,67,95,378,23,4,15,7,0,21,15,1,3,0,0,0,0,0,6.04,4.82,1.34,6.04,2.82,1.61,2.14,0.158,0.074,0.369,0.25
2026,p1850838,1850838,篠木 健太郎,DeNA,セ,30,右投,False,11,62.2,188,266,1037,62,4,50,21,2,31,31,5,2,0,0,0,0,0,4.45,3.23,1.32,7.18,3.02,0.57,2.38,0.188,0.079,0.68,0.714
2026,p2107753,2107753,若松 尚輝,DeNA,セ,39,右投,False,15,27.2,83,117,456,22,1,21,13,1,8,8,0,0,0,1,1,0,1,2.6,3.36,1.27,6.83,4.23,0.33,1.62,0.179,0.111,0.809,
2026,p1200062,1200062,藤浪 晋太郎,DeNA,セ,27,右投,False,2,7.2,23,42,189,8,0,9,10,1,4,4,0,0,0,0,0,0,0,4.7,4.85,2.35,10.57,11.74,0.0,0.9,0.214,0.238,0.789,
2026,p1700077,1700077,馬場 皐輔,DeNA,セ,96,右投,False,1,2,6,8,28,1,0,3,1,0,0,0,1,0,0,0,0,1,1,0.0,1.39,1.0,13.5,4.5,0.0,3.0,0.375,0.125,1.0,1.0
2026,p2108177,2108177,エスピノーザ,オリックス,パ,00,右投,True,16,104,312,413,1574,84,5,89,25,1,27,26,10,3,0,0,0,0,0,2.25,2.39,1.05,7.7,2.16,0.43,3.56,0.215,0.061,0.806,0.769
